algorithm,n,type,domain,sample,time_ms,mem_kb
naive,16,densa,D0,a,0.0058,0
naive,16,densa,D0,b,0.0073704,0
naive,16,densa,D0,c,0.008599,0
naive,16,densa,D10,a,0.0064644,0
naive,16,densa,D10,b,0.0076324,1
naive,16,densa,D10,c,0.0067062,0
naive,16,diagonal,D0,a,0.007572,0
naive,16,diagonal,D0,b,0.0073906,0
naive,16,diagonal,D0,c,0.0067668,1
naive,16,diagonal,D10,a,0.0079344,0
naive,16,diagonal,D10,b,0.0068472,0
naive,16,diagonal,D10,c,0.0072498,0
naive,16,dispersa,D0,a,0.006686,0
naive,16,dispersa,D0,b,0.0074512,0
naive,16,dispersa,D0,c,0.0133916,0
naive,16,dispersa,D10,a,0.0069074,0
naive,16,dispersa,D10,b,0.0074308,0
naive,16,dispersa,D10,c,0.0069478,0
naive,64,densa,D0,a,0.214954,31
naive,64,densa,D0,b,0.196528,31
naive,64,densa,D0,c,0.280081,31
naive,64,densa,D10,a,0.190668,31
naive,64,densa,D10,b,0.256238,31
naive,64,densa,D10,c,0.272066,31
naive,64,diagonal,D0,a,0.267353,31
naive,64,diagonal,D0,b,0.258654,31
naive,64,diagonal,D0,c,0.228125,31
naive,64,diagonal,D10,a,0.216545,31
naive,64,diagonal,D10,b,0.174505,31
naive,64,diagonal,D10,c,0.273766,22
naive,64,dispersa,D0,a,0.208417,31
naive,64,dispersa,D0,b,0.241162,31
naive,64,dispersa,D0,c,0.200673,31
naive,64,dispersa,D10,a,0.174304,31
naive,64,dispersa,D10,b,0.208518,31
naive,64,dispersa,D10,c,0.263005,31
naive,256,densa,D0,a,39.2488,522
naive,256,densa,D0,b,15.9866,522
naive,256,densa,D0,c,14.6446,522
naive,256,densa,D10,a,16.6224,522
naive,256,densa,D10,b,15.7684,522
naive,256,densa,D10,c,21.6855,522
naive,256,diagonal,D0,a,18.4193,522
naive,256,diagonal,D0,b,16.1668,522
naive,256,diagonal,D0,c,16.052,522
naive,256,diagonal,D10,a,13.8948,522
naive,256,diagonal,D10,b,14.4474,522
naive,256,diagonal,D10,c,13.9209,522
naive,256,dispersa,D0,a,30.7896,522
naive,256,dispersa,D0,b,14.2578,522
naive,256,dispersa,D0,c,14.3192,522
naive,256,dispersa,D10,a,14.441,522
naive,256,dispersa,D10,b,13.0474,522
naive,256,dispersa,D10,c,13.8049,522
naive,1024,densa,D0,a,2840.04,8241
naive,1024,densa,D0,b,2998.49,8232
naive,1024,densa,D0,c,3249.72,8232
naive,1024,densa,D10,a,3296.23,8232
naive,1024,densa,D10,b,2778.21,8233
naive,1024,densa,D10,c,3003.34,8232
naive,1024,diagonal,D0,a,2541.65,8232
naive,1024,diagonal,D0,b,2930.07,8232
naive,1024,diagonal,D0,c,2777.59,8232
naive,1024,diagonal,D10,a,2816.54,8232
naive,1024,diagonal,D10,b,2735.82,8232
naive,1024,diagonal,D10,c,2664.48,8232
naive,1024,dispersa,D0,a,3381.78,8232
naive,1024,dispersa,D0,b,3266.15,8232
naive,1024,dispersa,D0,c,3020.3,8232
naive,1024,dispersa,D10,a,3271.59,8232
naive,1024,dispersa,D10,b,3144.68,8232
naive,1024,dispersa,D10,c,2490.92,8232
