algorithm,n,type,domain,sample,time_ms,mem_kb
strassen,16,densa,D0,a,0.0067264,0
strassen,16,densa,D0,b,0.0065048,0
strassen,16,densa,D0,c,0.0047932,0
strassen,16,densa,D10,a,0.0086792,0
strassen,16,densa,D10,b,0.006686,0
strassen,16,densa,D10,c,0.0067868,0
strassen,16,diagonal,D0,a,0.0076926,0
strassen,16,diagonal,D0,b,0.0066054,0
strassen,16,diagonal,D0,c,0.0061822,0
strassen,16,diagonal,D10,a,0.0083574,0
strassen,16,diagonal,D10,b,0.0077734,0
strassen,16,diagonal,D10,c,0.0064844,0
strassen,16,dispersa,D0,a,0.0083976,0
strassen,16,dispersa,D0,b,0.0049938,0
strassen,16,dispersa,D0,c,0.007149,0
strassen,16,dispersa,D10,a,0.0062224,0
strassen,16,dispersa,D10,b,0.0084178,0
strassen,16,dispersa,D10,c,0.0086594,0
strassen,64,densa,D0,a,0.210987,31
strassen,64,densa,D0,b,0.207664,31
strassen,64,densa,D0,c,0.260627,31
strassen,64,densa,D10,a,0.269589,31
strassen,64,densa,D10,b,0.26381,31
strassen,64,densa,D10,c,0.258211,31
strassen,64,diagonal,D0,a,0.256439,31
strassen,64,diagonal,D0,b,0.231206,31
strassen,64,diagonal,D0,c,0.217371,31
strassen,64,diagonal,D10,a,0.20128,31
strassen,64,diagonal,D10,b,0.281651,31
strassen,64,diagonal,D10,c,0.326484,31
strassen,64,dispersa,D0,a,0.168632,31
strassen,64,dispersa,D0,b,0.270346,31
strassen,64,dispersa,D0,c,0.248604,31
strassen,64,dispersa,D10,a,0.183436,31
strassen,64,dispersa,D10,b,0.212399,31
strassen,64,dispersa,D10,c,0.243696,31
strassen,256,densa,D0,a,25.2657,2256
strassen,256,densa,D0,b,11.8305,2256
strassen,256,densa,D0,c,14.6266,2256
strassen,256,densa,D10,a,13.2391,2645
strassen,256,densa,D10,b,10.8499,2911
strassen,256,densa,D10,c,13.3949,2256
strassen,256,diagonal,D0,a,19.9857,2566
strassen,256,diagonal,D0,b,10.14,2256
strassen,256,diagonal,D0,c,13.1977,2778
strassen,256,diagonal,D10,a,12.0629,2256
strassen,256,diagonal,D10,b,10.0153,2256
strassen,256,diagonal,D10,c,11.5282,2783
strassen,256,dispersa,D0,a,13.8644,2256
strassen,256,dispersa,D0,b,10.4049,2645
strassen,256,dispersa,D0,c,11.4835,2778
strassen,256,dispersa,D10,a,9.80938,2256
strassen,256,dispersa,D10,b,9.69738,2256
strassen,256,dispersa,D10,c,11.8221,2851
strassen,1024,densa,D0,a,542.641,45457
strassen,1024,densa,D0,b,964.495,45457
strassen,1024,densa,D0,c,857.677,45457
strassen,1024,densa,D10,a,712.126,45457
strassen,1024,densa,D10,b,661.105,45457
strassen,1024,densa,D10,c,568.616,45457
strassen,1024,diagonal,D0,a,554.98,45457
strassen,1024,diagonal,D0,b,579.423,45457
strassen,1024,diagonal,D0,c,641.953,45457
strassen,1024,diagonal,D10,a,545.378,45457
strassen,1024,diagonal,D10,b,558.625,45457
strassen,1024,diagonal,D10,c,653.452,45457
strassen,1024,dispersa,D0,a,790.081,45457
strassen,1024,dispersa,D0,b,609.889,45457
strassen,1024,dispersa,D0,c,713.561,45457
strassen,1024,dispersa,D10,a,727.143,45457
strassen,1024,dispersa,D10,b,636.496,45457
strassen,1024,dispersa,D10,c,537.433,44866
