algorithm,n,type,domain,sample,time_ms,mem_kb
mergesort,10,aleatorio,D1,a,0.0008388,0
mergesort,10,aleatorio,D1,b,0.001218,0
mergesort,10,aleatorio,D1,c,0.0009986,0
mergesort,10,aleatorio,D7,a,0.0006988,0
mergesort,10,aleatorio,D7,b,0.0009186,0
mergesort,10,aleatorio,D7,c,0.0010182,0
mergesort,10,ascendente,D1,a,0.0006188,0
mergesort,10,ascendente,D1,b,0.000599,0
mergesort,10,ascendente,D1,c,0.0007586,0
mergesort,10,ascendente,D7,a,0.0008184,0
mergesort,10,ascendente,D7,b,0.000699,0
mergesort,10,ascendente,D7,c,0.0006988,0
mergesort,10,descendente,D1,a,0.0011382,0
mergesort,10,descendente,D1,b,0.0011578,0
mergesort,10,descendente,D1,c,0.0010184,0
mergesort,10,descendente,D7,a,0.001238,0
mergesort,10,descendente,D7,b,0.001298,0
mergesort,10,descendente,D7,c,0.0010382,0
mergesort,1000,aleatorio,D1,a,0.0448866,4
mergesort,1000,aleatorio,D1,b,0.0409132,4
mergesort,1000,aleatorio,D1,c,0.0385772,4
mergesort,1000,aleatorio,D7,a,0.0478214,4
mergesort,1000,aleatorio,D7,b,0.189151,4
mergesort,1000,aleatorio,D7,c,0.0724416,3
mergesort,1000,ascendente,D1,a,0.0191286,0
mergesort,1000,ascendente,D1,b,0.016553,0
mergesort,1000,ascendente,D1,c,0.0168122,0
mergesort,1000,ascendente,D7,a,0.0193084,0
mergesort,1000,ascendente,D7,b,0.0168924,0
mergesort,1000,ascendente,D7,c,0.009185,0
mergesort,1000,descendente,D1,a,0.015175,4
mergesort,1000,descendente,D1,b,0.0136178,0
mergesort,1000,descendente,D1,c,0.0142966,0
mergesort,1000,descendente,D7,a,0.0187094,4
mergesort,1000,descendente,D7,b,0.0205664,4
mergesort,1000,descendente,D7,c,0.0205066,4
mergesort,100000,aleatorio,D1,a,5.17615,390
mergesort,100000,aleatorio,D1,b,4.91264,391
mergesort,100000,aleatorio,D1,c,4.77669,391
mergesort,100000,aleatorio,D7,a,7.9764,390
mergesort,100000,aleatorio,D7,b,7.29297,391
mergesort,100000,aleatorio,D7,c,7.5583,391
mergesort,100000,ascendente,D1,a,0.38298,391
mergesort,100000,ascendente,D1,b,0.389029,391
mergesort,100000,ascendente,D1,c,0.499507,391
mergesort,100000,ascendente,D7,a,0.376472,391
mergesort,100000,ascendente,D7,b,0.39042,391
mergesort,100000,ascendente,D7,c,0.381239,391
mergesort,100000,descendente,D1,a,0.982738,391
mergesort,100000,descendente,D1,b,1.02465,391
mergesort,100000,descendente,D1,c,1.10058,391
mergesort,100000,descendente,D7,a,2.73693,391
mergesort,100000,descendente,D7,b,2.70843,391
mergesort,100000,descendente,D7,c,2.58859,391
mergesort,10000000,aleatorio,D1,a,661.654,0
mergesort,10000000,aleatorio,D1,b,607.664,0
mergesort,10000000,aleatorio,D1,c,686.299,0
mergesort,10000000,aleatorio,D7,a,1247.82,0
mergesort,10000000,aleatorio,D7,b,1241.58,0
mergesort,10000000,aleatorio,D7,c,1161.1,0
mergesort,10000000,ascendente,D1,a,65.4623,0
mergesort,10000000,ascendente,D1,b,91.8043,0
mergesort,10000000,ascendente,D1,c,70.3021,0
mergesort,10000000,ascendente,D7,a,65.9105,0
mergesort,10000000,ascendente,D7,b,43.2399,39063
mergesort,10000000,ascendente,D7,c,47.0251,39063
mergesort,10000000,descendente,D1,a,158.464,39063
mergesort,10000000,descendente,D1,b,139.35,39063
mergesort,10000000,descendente,D1,c,140.152,39063
mergesort,10000000,descendente,D7,a,506.85,39063
mergesort,10000000,descendente,D7,b,451.444,39063
mergesort,10000000,descendente,D7,c,414.412,39063
