algorithm,n,type,domain,sample,time_ms,mem_kb
patiencesort,10,aleatorio,D1,a,0.0022966,0
patiencesort,10,aleatorio,D1,b,0.0026356,0
patiencesort,10,aleatorio,D1,c,0.0022162,0
patiencesort,10,aleatorio,D7,a,0.0028752,0
patiencesort,10,aleatorio,D7,b,0.0027358,0
patiencesort,10,aleatorio,D7,c,0.0028552,0
patiencesort,10,ascendente,D1,a,0.0025358,0
patiencesort,10,ascendente,D1,b,0.0031946,0
patiencesort,10,ascendente,D1,c,0.002476,0
patiencesort,10,ascendente,D7,a,0.0033946,0
patiencesort,10,ascendente,D7,b,0.0036142,0
patiencesort,10,ascendente,D7,c,0.0031948,0
patiencesort,10,descendente,D1,a,0.0016574,0
patiencesort,10,descendente,D1,b,0.0017574,0
patiencesort,10,descendente,D1,c,0.001857,0
patiencesort,10,descendente,D7,a,0.0018368,0
patiencesort,10,descendente,D7,b,0.0018366,0
patiencesort,10,descendente,D7,c,0.0021364,0
patiencesort,1000,aleatorio,D1,a,0.044667,1
patiencesort,1000,aleatorio,D1,b,0.0529934,1
patiencesort,1000,aleatorio,D1,c,0.0469036,0
patiencesort,1000,aleatorio,D7,a,0.169323,2
patiencesort,1000,aleatorio,D7,b,0.248094,1
patiencesort,1000,aleatorio,D7,c,0.166647,3
patiencesort,1000,ascendente,D1,a,0.100935,0
patiencesort,1000,ascendente,D1,b,0.0938466,1
patiencesort,1000,ascendente,D1,c,0.102732,1
patiencesort,1000,ascendente,D7,a,0.498245,23
patiencesort,1000,ascendente,D7,b,0.206502,51
patiencesort,1000,ascendente,D7,c,0.113355,52
patiencesort,1000,descendente,D1,a,0.0143364,4
patiencesort,1000,descendente,D1,b,0.0146562,4
patiencesort,1000,descendente,D1,c,0.014676,0
patiencesort,1000,descendente,D7,a,0.0142564,0
patiencesort,1000,descendente,D7,b,0.0153752,0
patiencesort,1000,descendente,D7,c,0.0147558,0
patiencesort,100000,aleatorio,D1,a,3.27586,641
patiencesort,100000,aleatorio,D1,b,3.50481,641
patiencesort,100000,aleatorio,D1,c,3.20959,640
patiencesort,100000,aleatorio,D7,a,10.2629,548
patiencesort,100000,aleatorio,D7,b,10.4672,551
patiencesort,100000,aleatorio,D7,c,10.7385,548
patiencesort,100000,ascendente,D1,a,1.94305,641
patiencesort,100000,ascendente,D1,b,1.93217,641
patiencesort,100000,ascendente,D1,c,2.12102,641
patiencesort,100000,ascendente,D7,a,17.1856,9765
patiencesort,100000,ascendente,D7,b,15.6129,8742
patiencesort,100000,ascendente,D7,c,14.8969,8742
patiencesort,100000,descendente,D1,a,1.31144,512
patiencesort,100000,descendente,D1,b,1.25056,512
patiencesort,100000,descendente,D1,c,1.26667,512
patiencesort,100000,descendente,D7,a,1.34238,512
patiencesort,100000,descendente,D7,b,1.45328,512
patiencesort,100000,descendente,D7,c,1.26918,512
patiencesort,10000000,aleatorio,D1,a,345.481,40960
patiencesort,10000000,aleatorio,D1,b,365.449,40960
patiencesort,10000000,aleatorio,D1,c,405.445,43008
patiencesort,10000000,aleatorio,D7,a,1870.45,61708
patiencesort,10000000,aleatorio,D7,b,1986.35,61250
patiencesort,10000000,aleatorio,D7,c,1826.66,61606
patiencesort,10000000,ascendente,D1,a,224.473,43008
patiencesort,10000000,ascendente,D1,b,231.21,43008
patiencesort,10000000,ascendente,D1,c,215.872,43008
patiencesort,10000000,ascendente,D7,a,2073.73,222723
patiencesort,10000000,ascendente,D7,b,1972.27,222691
patiencesort,10000000,ascendente,D7,c,2005.98,255450
patiencesort,10000000,descendente,D1,a,136.517,98304
patiencesort,10000000,descendente,D1,b,136.021,98304
patiencesort,10000000,descendente,D1,c,131.731,98304
patiencesort,10000000,descendente,D7,a,133.818,98304
patiencesort,10000000,descendente,D7,b,136.163,98304
patiencesort,10000000,descendente,D7,c,156.675,98304
