algorithm,n,type,domain,sample,time_ms,mem_kb
quicksort,10,aleatorio,D1,a,0.0002398,0
quicksort,10,aleatorio,D1,b,0.0004792,0
quicksort,10,aleatorio,D1,c,0.0005192,0
quicksort,10,aleatorio,D7,a,0.000439,0
quicksort,10,aleatorio,D7,b,0.0003992,0
quicksort,10,aleatorio,D7,c,0.0003396,0
quicksort,10,ascendente,D1,a,0.0001598,0
quicksort,10,ascendente,D1,b,0.0002396,0
quicksort,10,ascendente,D1,c,0.0001996,0
quicksort,10,ascendente,D7,a,0.0003796,0
quicksort,10,ascendente,D7,b,0.000399,0
quicksort,10,ascendente,D7,c,0.0002594,0
quicksort,10,descendente,D1,a,0.0003992,0
quicksort,10,descendente,D1,b,0.0004196,0
quicksort,10,descendente,D1,c,0.0004196,0
quicksort,10,descendente,D7,a,0.0004794,0
quicksort,10,descendente,D7,b,0.0003992,0
quicksort,10,descendente,D7,c,0.0004594,0
quicksort,1000,aleatorio,D1,a,0.0185096,0
quicksort,1000,aleatorio,D1,b,0.0165928,0
quicksort,1000,aleatorio,D1,c,0.0176312,0
quicksort,1000,aleatorio,D7,a,0.0331256,0
quicksort,1000,aleatorio,D7,b,0.0865582,0
quicksort,1000,aleatorio,D7,c,0.0536524,0
quicksort,1000,ascendente,D1,a,0.0333656,0
quicksort,1000,ascendente,D1,b,0.0304706,0
quicksort,1000,ascendente,D1,c,0.0399746,0
quicksort,1000,ascendente,D7,a,0.020886,0
quicksort,1000,ascendente,D7,b,0.0139572,0
quicksort,1000,ascendente,D7,c,0.0057102,0
quicksort,1000,descendente,D1,a,0.0084462,0
quicksort,1000,descendente,D1,b,0.0092048,0
quicksort,1000,descendente,D1,c,0.009724,0
quicksort,1000,descendente,D7,a,0.008965,0
quicksort,1000,descendente,D7,b,0.0093848,0
quicksort,1000,descendente,D7,c,0.0144962,0
quicksort,100000,aleatorio,D1,a,1.96962,0
quicksort,100000,aleatorio,D1,b,2.06145,0
quicksort,100000,aleatorio,D1,c,1.9882,0
quicksort,100000,aleatorio,D7,a,5.17152,0
quicksort,100000,aleatorio,D7,b,5.23343,0
quicksort,100000,aleatorio,D7,c,5.391,0
quicksort,100000,ascendente,D1,a,1.14525,0
quicksort,100000,ascendente,D1,b,0.992725,0
quicksort,100000,ascendente,D1,c,1.00776,0
quicksort,100000,ascendente,D7,a,1.67444,0
quicksort,100000,ascendente,D7,b,1.07028,0
quicksort,100000,ascendente,D7,c,0.96146,0
quicksort,100000,descendente,D1,a,0.967049,0
quicksort,100000,descendente,D1,b,0.970582,0
quicksort,100000,descendente,D1,c,0.958985,0
quicksort,100000,descendente,D7,a,2.14929,0
quicksort,100000,descendente,D7,b,1.48024,0
quicksort,100000,descendente,D7,c,1.5685,0
quicksort,10000000,aleatorio,D1,a,268.2,0
quicksort,10000000,aleatorio,D1,b,282.023,0
quicksort,10000000,aleatorio,D1,c,328.837,0
quicksort,10000000,aleatorio,D7,a,867.635,0
quicksort,10000000,aleatorio,D7,b,953.648,0
quicksort,10000000,aleatorio,D7,c,786.9,0
quicksort,10000000,ascendente,D1,a,217.317,0
quicksort,10000000,ascendente,D1,b,146.919,0
quicksort,10000000,ascendente,D1,c,157.458,0
quicksort,10000000,ascendente,D7,a,179.416,0
quicksort,10000000,ascendente,D7,b,219.666,0
quicksort,10000000,ascendente,D7,c,228.433,0
quicksort,10000000,descendente,D1,a,149.296,0
quicksort,10000000,descendente,D1,b,144.555,0
quicksort,10000000,descendente,D1,c,136.931,0
quicksort,10000000,descendente,D7,a,237.582,0
quicksort,10000000,descendente,D7,b,258.098,0
quicksort,10000000,descendente,D7,c,257.789,0
