algorithm,n,type,domain,sample,time_ms,mem_kb
sort,10,aleatorio,D1,a,0.000699,0
sort,10,aleatorio,D1,b,0.0007188,0
sort,10,aleatorio,D1,c,0.0005788,0
sort,10,aleatorio,D7,a,0.0006592,0
sort,10,aleatorio,D7,b,0.0008384,0
sort,10,aleatorio,D7,c,0.0006988,0
sort,10,ascendente,D1,a,0.000699,0
sort,10,ascendente,D1,b,0.0007188,0
sort,10,ascendente,D1,c,0.000679,0
sort,10,ascendente,D7,a,0.0006788,0
sort,10,ascendente,D7,b,0.000659,0
sort,10,ascendente,D7,c,0.000659,0
sort,10,descendente,D1,a,0.0006988,0
sort,10,descendente,D1,b,0.0007188,0
sort,10,descendente,D1,c,0.0007786,0
sort,10,descendente,D7,a,0.0007788,0
sort,10,descendente,D7,b,0.000739,0
sort,10,descendente,D7,c,0.0007186,0
sort,1000,aleatorio,D1,a,0.021405,0
sort,1000,aleatorio,D1,b,0.020227,0
sort,1000,aleatorio,D1,c,0.0200474,0
sort,1000,aleatorio,D7,a,0.114633,0
sort,1000,aleatorio,D7,b,0.067869,0
sort,1000,aleatorio,D7,c,0.119844,0
sort,1000,ascendente,D1,a,0.0277544,0
sort,1000,ascendente,D1,b,0.0319076,0
sort,1000,ascendente,D1,c,0.0256182,0
sort,1000,ascendente,D7,a,0.0402742,0
sort,1000,ascendente,D7,b,0.0148758,0
sort,1000,ascendente,D7,c,0.0074682,0
sort,1000,descendente,D1,a,0.0080472,0
sort,1000,descendente,D1,b,0.0103032,4
sort,1000,descendente,D1,c,0.0078668,0
sort,1000,descendente,D7,a,0.0053912,0
sort,1000,descendente,D7,b,0.0055108,0
sort,1000,descendente,D7,c,0.0055508,0
sort,100000,aleatorio,D1,a,2.15763,0
sort,100000,aleatorio,D1,b,2.34892,0
sort,100000,aleatorio,D1,c,2.22016,0
sort,100000,aleatorio,D7,a,5.42326,0
sort,100000,aleatorio,D7,b,5.53889,0
sort,100000,aleatorio,D7,c,5.19424,0
sort,100000,ascendente,D1,a,0.986416,0
sort,100000,ascendente,D1,b,1.15501,0
sort,100000,ascendente,D1,c,1.2377,0
sort,100000,ascendente,D7,a,0.793495,0
sort,100000,ascendente,D7,b,0.914155,0
sort,100000,ascendente,D7,c,0.788326,0
sort,100000,descendente,D1,a,1.10685,0
sort,100000,descendente,D1,b,1.03288,0
sort,100000,descendente,D1,c,1.23695,0
sort,100000,descendente,D7,a,0.65116,0
sort,100000,descendente,D7,b,1.11657,0
sort,100000,descendente,D7,c,0.684712,0
sort,10000000,aleatorio,D1,a,294.522,0
sort,10000000,aleatorio,D1,b,358.441,0
sort,10000000,aleatorio,D1,c,360.298,0
sort,10000000,aleatorio,D7,a,862.966,0
sort,10000000,aleatorio,D7,b,836.389,0
sort,10000000,aleatorio,D7,c,874.714,0
sort,10000000,ascendente,D1,a,188.033,0
sort,10000000,ascendente,D1,b,203.395,0
sort,10000000,ascendente,D1,c,189.21,0
sort,10000000,ascendente,D7,a,143.955,39063
sort,10000000,ascendente,D7,b,141.41,39063
sort,10000000,ascendente,D7,c,143.339,39063
sort,10000000,descendente,D1,a,164.912,39063
sort,10000000,descendente,D1,b,184.23,39063
sort,10000000,descendente,D1,c,157.345,39063
sort,10000000,descendente,D7,a,137.047,39063
sort,10000000,descendente,D7,b,123.762,39063
sort,10000000,descendente,D7,c,139.716,39063
